time_sec,word
0.0000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
0.2000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
0.4000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
0.6000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
0.8000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
1.0000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
1.2000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
1.4000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
1.6000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
1.8000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
2.0000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
2.2000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
2.4000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
2.6000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
2.8000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
3.0000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
3.2000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
3.4000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
3.6000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
3.8000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
4.0000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
4.2000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
4.4000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
4.6000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
4.8000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
5.0000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
5.2000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
5.4000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
5.6000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
5.8000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
6.0000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
6.2000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
6.4000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
6.6000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
6.8000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
7.0000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
7.2000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
7.4000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
7.6000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
7.8000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
8.0000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
8.2000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
8.4000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
8.6000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
8.8000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
9.0000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
9.2000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
9.4000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
9.6000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
9.8000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
10.0000,"In this video, you will listen to a sound, and it is your job to decide if it is high or low."
10.2000,
10.4000,
10.6000,
10.8000,
11.0000,
11.2000,
11.4000,
11.6000,
11.8000,
12.0000,
12.2000,
12.4000,
12.6000,
12.8000,
13.0000,
13.2000,
13.4000,
13.6000,
13.8000,
14.0000,
14.2000,"If you hear a high sound like this,"
14.4000,"If you hear a high sound like this,"
14.6000,"If you hear a high sound like this,"
14.8000,"If you hear a high sound like this,"
15.0000,"If you hear a high sound like this,"
15.2000,"If you hear a high sound like this,"
15.4000,"If you hear a high sound like this,"
15.6000,"If you hear a high sound like this,"
15.8000,"If you hear a high sound like this,"
16.0000,"If you hear a high sound like this,"
16.2000,"If you hear a high sound like this,"
16.4000,"If you hear a high sound like this,"
16.6000,"If you hear a high sound like this,"
16.8000,"If you hear a high sound like this,"
17.0000,"If you hear a high sound like this,"
17.2000,
17.4000,
17.6000,
17.8000,
18.0000,
18.2000,
18.4000,
18.6000,
18.8000,
19.0000,
19.2000,
19.4000,
19.6000,
19.8000,
20.0000,
20.2000,
20.4000,
20.6000,
20.8000,
21.0000,
21.2000,raise your hands up way in the air.
21.4000,raise your hands up way in the air.
21.6000,raise your hands up way in the air.
21.8000,raise your hands up way in the air.
22.0000,raise your hands up way in the air.
22.2000,raise your hands up way in the air.
22.4000,raise your hands up way in the air.
22.6000,raise your hands up way in the air.
22.8000,raise your hands up way in the air.
23.0000,raise your hands up way in the air.
23.2000,raise your hands up way in the air.
23.4000,raise your hands up way in the air.
23.6000,raise your hands up way in the air.
23.8000,raise your hands up way in the air.
24.0000,raise your hands up way in the air.
24.2000,
24.4000,
24.6000,
24.8000,
25.0000,
25.2000,
25.4000,
25.6000,
25.8000,
26.0000,
26.2000,"If you hear a low sound like this,"
26.4000,"If you hear a low sound like this,"
26.6000,"If you hear a low sound like this,"
26.8000,"If you hear a low sound like this,"
27.0000,"If you hear a low sound like this,"
27.2000,"If you hear a low sound like this,"
27.4000,"If you hear a low sound like this,"
27.6000,"If you hear a low sound like this,"
27.8000,"If you hear a low sound like this,"
28.0000,"If you hear a low sound like this,"
28.2000,"If you hear a low sound like this,"
28.4000,"If you hear a low sound like this,"
28.6000,"If you hear a low sound like this,"
28.8000,"If you hear a low sound like this,"
29.0000,"If you hear a low sound like this,"
29.2000,
29.4000,
29.6000,
29.8000,
30.0000,
30.2000,
30.4000,
30.6000,
30.8000,
31.0000,
31.2000,put your hands on the floor or touch your toes.
31.4000,put your hands on the floor or touch your toes.
31.6000,put your hands on the floor or touch your toes.
31.8000,put your hands on the floor or touch your toes.
32.0000,put your hands on the floor or touch your toes.
32.2000,put your hands on the floor or touch your toes.
32.4000,put your hands on the floor or touch your toes.
32.6000,put your hands on the floor or touch your toes.
32.8000,put your hands on the floor or touch your toes.
33.0000,put your hands on the floor or touch your toes.
33.2000,put your hands on the floor or touch your toes.
33.4000,put your hands on the floor or touch your toes.
33.6000,put your hands on the floor or touch your toes.
33.8000,put your hands on the floor or touch your toes.
34.0000,put your hands on the floor or touch your toes.
34.2000,put your hands on the floor or touch your toes.
34.4000,put your hands on the floor or touch your toes.
34.6000,put your hands on the floor or touch your toes.
34.8000,put your hands on the floor or touch your toes.
35.0000,put your hands on the floor or touch your toes.
35.2000,put your hands on the floor or touch your toes.
35.4000,put your hands on the floor or touch your toes.
35.6000,put your hands on the floor or touch your toes.
35.8000,put your hands on the floor or touch your toes.
36.0000,put your hands on the floor or touch your toes.
36.2000,
36.4000,
36.6000,
36.8000,
37.0000,
37.2000,Ready? Let's get started.
37.4000,Ready? Let's get started.
37.6000,Ready? Let's get started.
37.8000,Ready? Let's get started.
38.0000,Ready? Let's get started.
38.2000,Ready? Let's get started.
38.4000,Ready? Let's get started.
38.6000,Ready? Let's get started.
38.8000,Ready? Let's get started.
39.0000,Ready? Let's get started.
39.2000,Ready? Let's get started.
39.4000,Ready? Let's get started.
39.6000,Ready? Let's get started.
39.8000,Ready? Let's get started.
40.0000,
40.2000,
40.4000,
40.6000,
40.8000,
41.0000,Here is your first sound.
41.2000,Here is your first sound.
41.4000,Here is your first sound.
41.6000,Here is your first sound.
41.8000,Here is your first sound.
42.0000,Here is your first sound.
42.2000,Here is your first sound.
42.4000,Here is your first sound.
42.6000,Here is your first sound.
42.8000,Here is your first sound.
43.0000,
43.2000,
43.4000,
43.6000,
43.8000,
44.0000,
44.2000,
44.4000,
44.6000,
44.8000,
45.0000,
45.2000,
45.4000,
45.6000,
45.8000,
46.0000,Let's listen to that one more time.
46.2000,Let's listen to that one more time.
46.4000,Let's listen to that one more time.
46.6000,Let's listen to that one more time.
46.8000,Let's listen to that one more time.
47.0000,Let's listen to that one more time.
47.2000,Let's listen to that one more time.
47.4000,Let's listen to that one more time.
47.6000,Let's listen to that one more time.
47.8000,Let's listen to that one more time.
48.0000,Let's listen to that one more time.
48.2000,Let's listen to that one more time.
48.4000,Let's listen to that one more time.
48.6000,Let's listen to that one more time.
48.8000,Let's listen to that one more time.
49.0000,
49.2000,
49.4000,
49.6000,
49.8000,
50.0000,
50.2000,
50.4000,
50.6000,
50.8000,
51.0000,
51.2000,
51.4000,
51.6000,
51.8000,
52.0000,Was that sound high or low?
52.2000,Was that sound high or low?
52.4000,Was that sound high or low?
52.6000,Was that sound high or low?
52.8000,Was that sound high or low?
53.0000,Was that sound high or low?
53.2000,Was that sound high or low?
53.4000,Was that sound high or low?
53.6000,Was that sound high or low?
53.8000,Was that sound high or low?
54.0000,Was that sound high or low?
54.2000,Was that sound high or low?
54.4000,Was that sound high or low?
54.6000,Was that sound high or low?
54.8000,Was that sound high or low?
55.0000,
55.2000,
55.4000,
55.6000,
55.8000,
56.0000,Are your hands in the air? Because that sound was high.
56.2000,Are your hands in the air? Because that sound was high.
56.4000,Are your hands in the air? Because that sound was high.
56.6000,Are your hands in the air? Because that sound was high.
56.8000,Are your hands in the air? Because that sound was high.
57.0000,Are your hands in the air? Because that sound was high.
57.2000,Are your hands in the air? Because that sound was high.
57.4000,Are your hands in the air? Because that sound was high.
57.6000,Are your hands in the air? Because that sound was high.
57.8000,Are your hands in the air? Because that sound was high.
58.0000,Are your hands in the air? Because that sound was high.
58.2000,Are your hands in the air? Because that sound was high.
58.4000,Are your hands in the air? Because that sound was high.
58.6000,Are your hands in the air? Because that sound was high.
58.8000,Are your hands in the air? Because that sound was high.
59.0000,
59.2000,
59.4000,
59.6000,
59.8000,
60.0000,
60.2000,
60.4000,
60.6000,
60.8000,
61.0000,Get ready for another sound.
61.2000,Get ready for another sound.
61.4000,Get ready for another sound.
61.6000,Get ready for another sound.
61.8000,Get ready for another sound.
62.0000,Get ready for another sound.
62.2000,Get ready for another sound.
62.4000,Get ready for another sound.
62.6000,Get ready for another sound.
62.8000,Get ready for another sound.
63.0000,Get ready for another sound.
63.2000,Get ready for another sound.
63.4000,Get ready for another sound.
63.6000,Get ready for another sound.
63.8000,Get ready for another sound.
64.0000,
64.2000,
64.4000,
64.6000,
64.8000,
65.0000,
65.2000,
65.4000,
65.6000,
65.8000,
66.0000,
66.2000,
66.4000,
66.6000,
66.8000,
67.0000,
67.2000,
67.4000,
67.6000,
67.8000,
68.0000,
68.2000,
68.4000,
68.6000,
68.8000,
69.0000,
69.2000,
69.4000,
69.6000,
69.8000,
70.0000,
70.2000,
70.4000,
70.6000,
70.8000,
71.0000,
71.2000,
71.4000,
71.6000,
71.8000,
72.0000,Is this sound high or low?
72.2000,Is this sound high or low?
72.4000,Is this sound high or low?
72.6000,Is this sound high or low?
72.8000,Is this sound high or low?
73.0000,Is this sound high or low?
73.2000,Is this sound high or low?
73.4000,Is this sound high or low?
73.6000,Is this sound high or low?
73.8000,Is this sound high or low?
74.0000,Is this sound high or low?
74.2000,Is this sound high or low?
74.4000,Is this sound high or low?
74.6000,Is this sound high or low?
74.8000,Is this sound high or low?
75.0000,
75.2000,
75.4000,
75.6000,
75.8000,
76.0000,That sound was low.
76.2000,That sound was low.
76.4000,That sound was low.
76.6000,That sound was low.
76.8000,That sound was low.
77.0000,That sound was low.
77.2000,That sound was low.
77.4000,That sound was low.
77.6000,That sound was low.
77.8000,That sound was low.
78.0000,That sound was low.
78.2000,That sound was low.
78.4000,That sound was low.
78.6000,That sound was low.
78.8000,That sound was low.
79.0000,
79.2000,
79.4000,
79.6000,
79.8000,
80.0000,
80.2000,
80.4000,
80.6000,
80.8000,
81.0000,Keep it up. Here comes your next one.
81.2000,Keep it up. Here comes your next one.
81.4000,Keep it up. Here comes your next one.
81.6000,Keep it up. Here comes your next one.
81.8000,Keep it up. Here comes your next one.
82.0000,Keep it up. Here comes your next one.
82.2000,Keep it up. Here comes your next one.
82.4000,Keep it up. Here comes your next one.
82.6000,Keep it up. Here comes your next one.
82.8000,Keep it up. Here comes your next one.
83.0000,Keep it up. Here comes your next one.
83.2000,Keep it up. Here comes your next one.
83.4000,Keep it up. Here comes your next one.
83.6000,Keep it up. Here comes your next one.
83.8000,Keep it up. Here comes your next one.
84.0000,
84.2000,
84.4000,
84.6000,
84.8000,
85.0000,
85.2000,
85.4000,
85.6000,
85.8000,
86.0000,
86.2000,
86.4000,
86.6000,
86.8000,
87.0000,
87.2000,
87.4000,
87.6000,
87.8000,
88.0000,
88.2000,
88.4000,
88.6000,
88.8000,
89.0000,
89.2000,
89.4000,
89.6000,
89.8000,
90.0000,
90.2000,
90.4000,
90.6000,
90.8000,
91.0000,Was that sound high or low?
91.2000,Was that sound high or low?
91.4000,Was that sound high or low?
91.6000,Was that sound high or low?
91.8000,Was that sound high or low?
92.0000,Was that sound high or low?
92.2000,Was that sound high or low?
92.4000,Was that sound high or low?
92.6000,Was that sound high or low?
92.8000,Was that sound high or low?
93.0000,Was that sound high or low?
93.2000,Was that sound high or low?
93.4000,Was that sound high or low?
93.6000,Was that sound high or low?
93.8000,Was that sound high or low?
94.0000,
94.2000,
94.4000,
94.6000,
94.8000,
95.0000,"That was a lion, and it was low."
95.2000,"That was a lion, and it was low."
95.4000,"That was a lion, and it was low."
95.6000,"That was a lion, and it was low."
95.8000,"That was a lion, and it was low."
96.0000,"That was a lion, and it was low."
96.2000,"That was a lion, and it was low."
96.4000,"That was a lion, and it was low."
96.6000,"That was a lion, and it was low."
96.8000,"That was a lion, and it was low."
97.0000,"That was a lion, and it was low."
97.2000,"That was a lion, and it was low."
97.4000,"That was a lion, and it was low."
97.6000,"That was a lion, and it was low."
97.8000,"That was a lion, and it was low."
98.0000,
98.2000,
98.4000,
98.6000,
98.8000,
99.0000,Did you know that a lion's roar can be heard up to five miles away?
99.2000,Did you know that a lion's roar can be heard up to five miles away?
99.4000,Did you know that a lion's roar can be heard up to five miles away?
99.6000,Did you know that a lion's roar can be heard up to five miles away?
99.8000,Did you know that a lion's roar can be heard up to five miles away?
100.0000,Did you know that a lion's roar can be heard up to five miles away?
100.2000,Did you know that a lion's roar can be heard up to five miles away?
100.4000,Did you know that a lion's roar can be heard up to five miles away?
100.6000,Did you know that a lion's roar can be heard up to five miles away?
100.8000,Did you know that a lion's roar can be heard up to five miles away?
101.0000,Did you know that a lion's roar can be heard up to five miles away?
101.2000,Did you know that a lion's roar can be heard up to five miles away?
101.4000,Did you know that a lion's roar can be heard up to five miles away?
101.6000,Did you know that a lion's roar can be heard up to five miles away?
101.8000,Did you know that a lion's roar can be heard up to five miles away?
102.0000,Did you know that a lion's roar can be heard up to five miles away?
102.2000,Did you know that a lion's roar can be heard up to five miles away?
102.4000,Did you know that a lion's roar can be heard up to five miles away?
102.6000,Did you know that a lion's roar can be heard up to five miles away?
102.8000,Did you know that a lion's roar can be heard up to five miles away?
103.0000,Did you know that a lion's roar can be heard up to five miles away?
103.2000,Did you know that a lion's roar can be heard up to five miles away?
103.4000,Did you know that a lion's roar can be heard up to five miles away?
103.6000,Did you know that a lion's roar can be heard up to five miles away?
103.8000,Did you know that a lion's roar can be heard up to five miles away?
104.0000,
104.2000,
104.4000,
104.6000,
104.8000,
105.0000,Get ready for your next sound.
105.2000,Get ready for your next sound.
105.4000,Get ready for your next sound.
105.6000,Get ready for your next sound.
105.8000,Get ready for your next sound.
106.0000,Get ready for your next sound.
106.2000,Get ready for your next sound.
106.4000,Get ready for your next sound.
106.6000,Get ready for your next sound.
106.8000,Get ready for your next sound.
107.0000,Get ready for your next sound.
107.2000,Get ready for your next sound.
107.4000,Get ready for your next sound.
107.6000,Get ready for your next sound.
107.8000,Get ready for your next sound.
108.0000,
108.2000,
108.4000,
108.6000,
108.8000,
109.0000,
109.2000,
109.4000,
109.6000,
109.8000,
110.0000,
110.2000,
110.4000,
110.6000,
110.8000,
111.0000,
111.2000,
111.4000,
111.6000,
111.8000,
112.0000,
112.2000,
112.4000,
112.6000,
112.8000,
113.0000,Is this sound high or low?
113.2000,Is this sound high or low?
113.4000,Is this sound high or low?
113.6000,Is this sound high or low?
113.8000,Is this sound high or low?
114.0000,Is this sound high or low?
114.2000,Is this sound high or low?
114.4000,Is this sound high or low?
114.6000,Is this sound high or low?
114.8000,Is this sound high or low?
115.0000,Is this sound high or low?
115.2000,Is this sound high or low?
115.4000,Is this sound high or low?
115.6000,Is this sound high or low?
115.8000,Is this sound high or low?
116.0000,
116.2000,
116.4000,
116.6000,
116.8000,
117.0000,You're right. That alarm clock had a high sound.
117.2000,You're right. That alarm clock had a high sound.
117.4000,You're right. That alarm clock had a high sound.
117.6000,You're right. That alarm clock had a high sound.
117.8000,You're right. That alarm clock had a high sound.
118.0000,You're right. That alarm clock had a high sound.
118.2000,You're right. That alarm clock had a high sound.
118.4000,You're right. That alarm clock had a high sound.
118.6000,You're right. That alarm clock had a high sound.
118.8000,You're right. That alarm clock had a high sound.
119.0000,You're right. That alarm clock had a high sound.
119.2000,You're right. That alarm clock had a high sound.
119.4000,You're right. That alarm clock had a high sound.
119.6000,You're right. That alarm clock had a high sound.
119.8000,You're right. That alarm clock had a high sound.
120.0000,You're right. That alarm clock had a high sound.
120.2000,You're right. That alarm clock had a high sound.
120.4000,You're right. That alarm clock had a high sound.
120.6000,You're right. That alarm clock had a high sound.
120.8000,You're right. That alarm clock had a high sound.
121.0000,
121.2000,
121.4000,
121.6000,
121.8000,
122.0000,
122.2000,
122.4000,
122.6000,
122.8000,
123.0000,"Next, we are going to listen to some musical instruments that are either high or low."
123.2000,"Next, we are going to listen to some musical instruments that are either high or low."
123.4000,"Next, we are going to listen to some musical instruments that are either high or low."
123.6000,"Next, we are going to listen to some musical instruments that are either high or low."
123.8000,"Next, we are going to listen to some musical instruments that are either high or low."
124.0000,"Next, we are going to listen to some musical instruments that are either high or low."
124.2000,"Next, we are going to listen to some musical instruments that are either high or low."
124.4000,"Next, we are going to listen to some musical instruments that are either high or low."
124.6000,"Next, we are going to listen to some musical instruments that are either high or low."
124.8000,"Next, we are going to listen to some musical instruments that are either high or low."
125.0000,"Next, we are going to listen to some musical instruments that are either high or low."
125.2000,"Next, we are going to listen to some musical instruments that are either high or low."
125.4000,"Next, we are going to listen to some musical instruments that are either high or low."
125.6000,"Next, we are going to listen to some musical instruments that are either high or low."
125.8000,"Next, we are going to listen to some musical instruments that are either high or low."
126.0000,"Next, we are going to listen to some musical instruments that are either high or low."
126.2000,"Next, we are going to listen to some musical instruments that are either high or low."
126.4000,"Next, we are going to listen to some musical instruments that are either high or low."
126.6000,"Next, we are going to listen to some musical instruments that are either high or low."
126.8000,"Next, we are going to listen to some musical instruments that are either high or low."
127.0000,"Next, we are going to listen to some musical instruments that are either high or low."
