time_sec,chan1_rms,chan1_energy
0.0000,0.000441,0.000078
0.0250,0.000445,0.000079
0.0500,0.000445,0.000079
0.0750,0.000449,0.000080
0.1000,0.000443,0.000078
0.1250,0.000446,0.000079
0.1500,0.000446,0.000079
0.1750,0.000447,0.000080
0.2000,0.000446,0.000080
0.2250,0.000449,0.000081
0.2500,0.000447,0.000080
0.2750,0.000444,0.000079
0.3000,0.000446,0.000079
0.3250,0.000443,0.000078
0.3500,0.000442,0.000078
0.3750,0.000445,0.000079
0.4000,0.000443,0.000078
0.4250,0.000445,0.000079
0.4500,0.000444,0.000079
0.4750,0.000446,0.000080
0.5000,0.000444,0.000079
0.5250,0.000448,0.000080
0.5500,0.000444,0.000079
0.5750,0.000440,0.000078
0.6000,0.000444,0.000079
0.6250,0.000442,0.000078
0.6500,0.000443,0.000079
0.6750,0.000443,0.000079
0.7000,0.000446,0.000080
0.7250,0.000450,0.000081
0.7500,0.000447,0.000080
0.7750,0.000444,0.000079
0.8000,0.000445,0.000079
0.8250,0.000442,0.000078
0.8500,0.000443,0.000078
0.8750,0.000441,0.000078
0.9000,0.000440,0.000077
0.9250,0.000442,0.000078
0.9500,0.000444,0.000079
0.9750,0.000438,0.000077
1.0000,0.000445,0.000079
1.0250,0.000441,0.000078
1.0500,0.000445,0.000079
1.0750,0.000442,0.000078
1.1000,0.000444,0.000079
1.1250,0.000442,0.000078
1.1500,0.000443,0.000079
1.1750,0.000440,0.000077
1.2000,0.000442,0.000078
1.2250,0.000434,0.000075
1.2500,0.000443,0.000079
1.2750,0.000440,0.000077
1.3000,0.000447,0.000080
1.3250,0.000442,0.000078
1.3500,0.000446,0.000080
1.3750,0.000442,0.000078
1.4000,0.000446,0.000080
1.4250,0.000444,0.000079
1.4500,0.000450,0.000081
1.4750,0.000443,0.000079
1.5000,0.000447,0.000080
1.5250,0.000441,0.000078
1.5500,0.000445,0.000079
1.5750,0.000438,0.000077
1.6000,0.000446,0.000080
1.6250,0.000432,0.000075
1.6500,0.000441,0.000078
1.6750,0.000446,0.000080
1.7000,0.000441,0.000078
1.7250,0.000443,0.000078
1.7500,0.000445,0.000079
1.7750,0.000443,0.000079
1.8000,0.000446,0.000080
1.8250,0.000442,0.000078
1.8500,0.000442,0.000078
1.8750,0.000441,0.000078
1.9000,0.000436,0.000076
1.9250,0.000450,0.000081
1.9500,0.000437,0.000076
1.9750,0.000448,0.000080
2.0000,0.000441,0.000078
2.0250,0.000445,0.000079
2.0500,0.000446,0.000080
2.0750,0.000443,0.000079
2.1000,0.000444,0.000079
2.1250,0.000444,0.000079
2.1500,0.000438,0.000077
2.1750,0.000448,0.000080
2.2000,0.000441,0.000078
2.2250,0.000443,0.000079
2.2500,0.000444,0.000079
2.2750,0.000444,0.000079
2.3000,0.000443,0.000078
2.3250,0.000444,0.000079
2.3500,0.000441,0.000078
2.3750,0.000443,0.000079
2.4000,0.000446,0.000080
2.4250,0.000445,0.000079
2.4500,0.000453,0.000082
2.4750,0.000440,0.000078
2.5000,0.000447,0.000080
2.5250,0.000444,0.000079
2.5500,0.000439,0.000077
2.5750,0.000444,0.000079
2.6000,0.000441,0.000078
2.6250,0.000444,0.000079
2.6500,0.000447,0.000080
2.6750,0.000447,0.000080
2.7000,0.000447,0.000080
2.7250,0.000442,0.000078
2.7500,0.000447,0.000080
2.7750,0.000443,0.000078
2.8000,0.000445,0.000079
2.8250,0.000443,0.000079
2.8500,0.000448,0.000080
2.8750,0.000444,0.000079
2.9000,0.000447,0.000080
2.9250,0.000443,0.000079
2.9500,0.000446,0.000080
2.9750,0.000440,0.000077
3.0000,0.000447,0.000080
3.0250,0.000448,0.000080
3.0500,0.000442,0.000078
3.0750,0.000450,0.000081
3.1000,0.000442,0.000078
3.1250,0.000446,0.000079
3.1500,0.000443,0.000078
3.1750,0.000447,0.000080
3.2000,0.000449,0.000081
3.2250,0.000439,0.000077
3.2500,0.000450,0.000081
3.2750,0.000445,0.000079
3.3000,0.000439,0.000077
3.3250,0.000450,0.000081
3.3500,0.000444,0.000079
3.3750,0.000450,0.000081
3.4000,0.000441,0.000078
3.4250,0.000449,0.000080
3.4500,0.000440,0.000077
3.4750,0.000446,0.000079
3.5000,0.000443,0.000078
3.5250,0.000445,0.000079
3.5500,0.000443,0.000079
3.5750,0.000443,0.000079
3.6000,0.000449,0.000081
3.6250,0.000446,0.000080
3.6500,0.000444,0.000079
3.6750,0.000448,0.000080
3.7000,0.000442,0.000078
3.7250,0.000446,0.000080
3.7500,0.000439,0.000077
3.7750,0.000443,0.000079
3.8000,0.000440,0.000078
3.8250,0.000445,0.000079
3.8500,0.000444,0.000079
3.8750,0.000444,0.000079
3.9000,0.000442,0.000078
3.9250,0.000446,0.000079
3.9500,0.000444,0.000079
3.9750,0.000445,0.000079
4.0000,0.000441,0.000078
4.0250,0.000447,0.000080
4.0500,0.000440,0.000077
4.0750,0.000445,0.000079
4.1000,0.000445,0.000079
4.1250,0.000442,0.000078
4.1500,0.000444,0.000079
4.1750,0.000442,0.000078
4.2000,0.000443,0.000078
4.2250,0.000444,0.000079
4.2500,0.000442,0.000078
4.2750,0.000447,0.000080
4.3000,0.000448,0.000080
4.3250,0.000441,0.000078
4.3500,0.000450,0.000081
4.3750,0.000434,0.000075
4.4000,0.000447,0.000080
4.4250,0.000450,0.000081
4.4500,0.000432,0.000075
4.4750,0.000448,0.000080
4.5000,0.000435,0.000076
4.5250,0.000439,0.000077
4.5500,0.000444,0.000079
4.5750,0.000439,0.000077
4.6000,0.000448,0.000080
4.6250,0.000444,0.000079
4.6500,0.000442,0.000078
4.6750,0.000447,0.000080
4.7000,0.000439,0.000077
4.7250,0.000446,0.000080
4.7500,0.000446,0.000080
4.7750,0.000444,0.000079
4.8000,0.000449,0.000081
4.8250,0.000440,0.000078
4.8500,0.000441,0.000078
4.8750,0.000440,0.000078
4.9000,0.000442,0.000078
4.9250,0.000591,0.000139
4.9500,0.000420,0.000071
4.9750,0.000372,0.000055
5.0000,0.001473,0.000868
5.0250,0.000431,0.000074
5.0500,0.000435,0.000076
5.0750,0.000446,0.000080
5.1000,0.000444,0.000079
5.1250,0.000430,0.000074
5.1500,0.000448,0.000080
5.1750,0.000418,0.000070
5.2000,0.000448,0.000080
5.2250,0.000429,0.000073
5.2500,0.000442,0.000078
5.2750,0.000444,0.000079
5.3000,0.000438,0.000077
5.3250,0.000436,0.000076
5.3500,0.000442,0.000078
5.3750,0.000432,0.000075
5.4000,0.000444,0.000079
5.4250,0.000444,0.000079
5.4500,0.000441,0.000078
5.4750,0.000445,0.000079
5.5000,0.000433,0.000075
5.5250,0.000446,0.000080
5.5500,0.000443,0.000079
5.5750,0.000439,0.000077
5.6000,0.000445,0.000079
5.6250,0.000444,0.000079
5.6500,0.000446,0.000080
5.6750,0.000447,0.000080
5.7000,0.000446,0.000079
5.7250,0.000447,0.000080
5.7500,0.000443,0.000078
5.7750,0.000443,0.000078
5.8000,0.000447,0.000080
5.8250,0.000438,0.000077
5.8500,0.000449,0.000081
5.8750,0.000442,0.000078
5.9000,0.000446,0.000080
5.9250,0.000440,0.000077
5.9500,0.000442,0.000078
5.9750,0.000445,0.000079
6.0000,0.000444,0.000079
6.0250,0.000448,0.000080
6.0500,0.000446,0.000079
6.0750,0.000450,0.000081
6.1000,0.000447,0.000080
6.1250,0.000443,0.000079
6.1500,0.000445,0.000079
6.1750,0.000443,0.000079
6.2000,0.000449,0.000081
6.2250,0.000451,0.000081
6.2500,0.000446,0.000080
6.2750,0.000452,0.000082
6.3000,0.000442,0.000078
6.3250,0.000444,0.000079
6.3500,0.000447,0.000080
6.3750,0.000446,0.000079
6.4000,0.000444,0.000079
6.4250,0.000443,0.000079
6.4500,0.000441,0.000078
6.4750,0.000445,0.000079
6.5000,0.000438,0.000077
6.5250,0.000447,0.000080
6.5500,0.000443,0.000078
6.5750,0.000447,0.000080
6.6000,0.000445,0.000079
6.6250,0.000446,0.000079
6.6500,0.000443,0.000079
6.6750,0.000444,0.000079
6.7000,0.000445,0.000079
6.7250,0.000449,0.000081
6.7500,0.000452,0.000082
6.7750,0.000445,0.000079
6.8000,0.000448,0.000080
6.8250,0.000444,0.000079
6.8500,0.000450,0.000081
6.8750,0.000449,0.000081
6.9000,0.000443,0.000079
6.9250,0.000447,0.000080
6.9500,0.000443,0.000079
6.9750,0.000438,0.000077
7.0000,0.000444,0.000079
7.0250,0.000444,0.000079
7.0500,0.000444,0.000079
7.0750,0.000448,0.000080
7.1000,0.000445,0.000079
7.1250,0.000448,0.000080
7.1500,0.000445,0.000079
7.1750,0.000453,0.000082
7.2000,0.000447,0.000080
7.2250,0.000447,0.000080
7.2500,0.000452,0.000082
7.2750,0.000450,0.000081
7.3000,0.000452,0.000082
7.3250,0.000449,0.000081
7.3500,0.000445,0.000079
7.3750,0.000445,0.000079
7.4000,0.000448,0.000080
7.4250,0.000445,0.000079
7.4500,0.000449,0.000081
7.4750,0.000448,0.000080
7.5000,0.000447,0.000080
7.5250,0.000448,0.000080
7.5500,0.000448,0.000080
7.5750,0.000448,0.000080
7.6000,0.000448,0.000080
7.6250,0.000445,0.000079
7.6500,0.000444,0.000079
7.6750,0.000447,0.000080
7.7000,0.000446,0.000080
7.7250,0.000447,0.000080
7.7500,0.000451,0.000081
7.7750,0.000447,0.000080
7.8000,0.000447,0.000080
7.8250,0.000447,0.000080
7.8500,0.000447,0.000080
7.8750,0.000447,0.000080
7.9000,0.000447,0.000080
7.9250,0.000445,0.000079
7.9500,0.000451,0.000081
7.9750,0.000446,0.000079
8.0000,0.000448,0.000080
8.0250,0.000453,0.000082
8.0500,0.000450,0.000081
8.0750,0.000453,0.000082
8.1000,0.000445,0.000079
8.1250,0.000444,0.000079
8.1500,0.000446,0.000080
8.1750,0.000444,0.000079
8.2000,0.000447,0.000080
8.2250,0.000447,0.000080
8.2500,0.000446,0.000080
8.2750,0.000447,0.000080
8.3000,0.000453,0.000082
8.3250,0.000453,0.000082
