chunk_index,start_sec,end_sec,predicted_emotion,emotion_probs
0,0.0,5.0,sad,"[0.29419443011283875, 0.04134177416563034, 0.010769793763756752, 0.6536939740180969]"
1,5.0,10.0,neutral,"[0.7422272562980652, 0.029776480048894882, 0.19770225882530212, 0.030294019728899002]"
2,10.0,15.0,sad,"[0.08491019159555435, 0.011385003104805946, 0.002437582239508629, 0.9012671709060669]"
3,15.0,20.0,excited,"[0.006641237996518612, 0.15868143737316132, 0.8334491848945618, 0.0012280591763556004]"
4,20.0,25.0,neutral,"[0.34823355078697205, 0.2643117308616638, 0.3240189552307129, 0.06343570351600647]"
5,25.0,30.0,neutral,"[0.6698631644248962, 0.2511133551597595, 0.0473516471683979, 0.03167181462049484]"
6,30.0,35.0,neutral,"[0.4890347719192505, 0.4073682129383087, 0.007257309276610613, 0.09633971005678177]"
7,35.0,40.0,happy,"[0.44304823875427246, 0.5192461013793945, 0.02925819903612137, 0.008447504602372646]"
8,40.0,45.0,neutral,"[0.7421892881393433, 0.18155522644519806, 0.05891302227973938, 0.01734243892133236]"
9,45.0,50.0,excited,"[0.2567986249923706, 0.20619481801986694, 0.5288541316986084, 0.008152441121637821]"
10,50.0,55.0,happy,"[0.22434088587760925, 0.3843540847301483, 0.3734492063522339, 0.017855770885944366]"
11,55.0,60.0,neutral,"[0.6227220892906189, 0.29006892442703247, 0.02745605632662773, 0.05975290387868881]"
12,60.0,65.0,neutral,"[0.7554786205291748, 0.08993211388587952, 0.0002505405282136053, 0.15433871746063232]"
13,65.0,70.0,happy,"[0.047750163823366165, 0.6052931547164917, 0.0003281375393271446, 0.3466286361217499]"
14,70.0,75.0,happy,"[0.482326865196228, 0.48812422156333923, 0.025514578446745872, 0.004034306854009628]"
15,75.0,80.0,happy,"[0.29165804386138916, 0.43155592679977417, 0.0003648227429948747, 0.2764212489128113]"
16,80.0,85.0,neutral,"[0.9287322759628296, 0.06519943475723267, 0.002184715587645769, 0.003883610712364316]"
17,85.0,90.0,happy,"[0.025610269978642464, 0.6723358631134033, 0.00037202672683633864, 0.30168190598487854]"
18,90.0,95.0,happy,"[0.429586261510849, 0.5366408228874207, 0.012129071168601513, 0.021643904969096184]"
19,95.0,100.0,happy,"[0.3229730725288391, 0.5505635738372803, 0.07088351994752884, 0.055579882115125656]"
20,100.0,105.0,neutral,"[0.48598453402519226, 0.11023224145174026, 0.37901046872138977, 0.02477274090051651]"
21,105.0,110.0,happy,"[0.27560412883758545, 0.6639778017997742, 0.04866155609488487, 0.011756520718336105]"
22,110.0,115.0,happy,"[0.026264362037181854, 0.6863480806350708, 0.2687995731830597, 0.018588019534945488]"
23,115.0,120.0,happy,"[0.3761204183101654, 0.5970075726509094, 0.010889182798564434, 0.015982815995812416]"
24,120.0,125.0,happy,"[0.09381613880395889, 0.5725010633468628, 0.32917606830596924, 0.004506729543209076]"
25,125.0,130.0,excited,"[0.2186930924654007, 0.1942625790834427, 0.5798519253730774, 0.007192350924015045]"
26,130.0,135.0,neutral,"[0.5836194753646851, 0.1194964125752449, 0.2931753098964691, 0.00370884221047163]"
27,135.0,140.0,neutral,"[0.7316612005233765, 0.2236924171447754, 0.027057938277721405, 0.01758846826851368]"
28,140.0,145.0,sad,"[0.014236650429666042, 0.18056820333003998, 4.0917853993960307e-07, 0.8051947355270386]"
29,145.0,150.0,happy,"[0.17608803510665894, 0.6649685502052307, 6.837642104073893e-06, 0.15893656015396118]"
30,150.0,155.0,happy,"[0.034599702805280685, 0.8312292098999023, 1.3658304851560388e-06, 0.1341697722673416]"
31,155.0,160.0,happy,"[0.43699145317077637, 0.5047823786735535, 0.05183431878685951, 0.00639190012589097]"
32,160.0,165.0,excited,"[0.2418564110994339, 0.13842806220054626, 0.5557811856269836, 0.06393428146839142]"
33,165.0,170.0,neutral,"[0.4881030321121216, 0.44608062505722046, 0.050323355942964554, 0.015493029728531837]"
34,170.0,175.0,happy,"[0.13783672451972961, 0.7282541990280151, 0.13264738023281097, 0.0012616622261703014]"
