term,warmth,competence,sociability,trust1
a couple,0.952,0.09,0.952,0.528
a further,0.083,-0.122,0.0,0.083
a goner,-0.625,-0.354,-0.625,-0.528
a good,0.81,0.388,0.81,0.222
a kickback,-0.848,-0.142,0.333,-0.848
a mere,0.0,-0.066,0.0,0.0
a no-brainer,0.633,-0.234,0.619,0.633
a peach,0.944,-0.138,0.944,0.2
a pleasure,0.963,0.068,0.963,0.222
a plus,0.444,0.13,0.444,0.273
a sec,0.286,-0.366,0.286,-0.091
a shame,-0.63,-0.18,-0.63,0.0
a smokescreen,-0.583,-0.404,-0.583,-0.583
a sport,0.833,0.142,0.833,0.042
a student,0.857,0.064,0.857,0.6
a treat,1.0,0.124,1.0,0.182
aback,-0.19,-0.424,-0.19,-0.033
abandon,-0.758,-0.599,-0.758,-0.667
abandoned,-0.857,-0.74,-0.857,-0.467
abandoner,-0.933,-0.704,-0.875,-0.933
abandonment,-0.857,-0.596,-0.857,-0.758
abase,-0.733,-0.958,-0.714,-0.733
abased,-0.778,-0.917,-0.778,-0.545
abasement,-0.75,-0.958,-0.75,-0.639
abashed,0.389,-0.386,0.389,0.0
abashedly,-0.433,-0.958,0.048,-0.433
abashment,-0.333,-0.778,-0.333,-0.303
abate,-0.125,0.208,-0.125,-0.067
abatement,0.389,-0.328,-0.333,0.389
abdicate,-0.583,-0.889,-0.583,-0.576
abdication,-0.667,-0.714,-0.667,-0.061
abdicator,-0.667,-0.917,-0.667,-0.515
abduct,-1.0,0.23,-1.0,-1.0
abducted,-0.727,-0.556,-0.714,-0.727
abductee,-0.333,-0.958,-0.333,-0.333
abduction,-0.905,-0.276,-0.905,-0.818
abductor,-0.958,0.833,-0.958,-0.767
aberrant,-0.639,-0.138,-0.625,-0.639
aberration,-0.571,-0.166,-0.571,-0.242
abeyance,-0.238,-0.416,-0.238,0.121
abhor,-0.852,-0.302,-0.852,-0.111
abhorrence,-0.917,-0.16,-0.917,-0.1
abhorrent,-0.952,-0.052,-0.952,-0.861
abhorrently,-1.0,0.074,-1.0,-0.889
abide,0.758,0.41,0.741,0.758
abider,0.833,0.037,0.5,0.833
abiding,0.952,0.5,0.952,0.708
abilities,0.472,0.708,0.042,0.472
ability,0.267,0.563,0.267,0.152
abject,-0.75,-0.166,-0.75,-0.485
abjection,-0.926,-0.952,-0.926,-0.727
abjectly,-0.667,-0.792,-0.667,-0.296
abjectness,-0.714,-1.0,-0.714,-0.424
ablaze,0.667,0.05,0.667,0.033
able,0.762,0.62,0.762,0.762
abloom,0.852,-0.083,0.852,0.0
ably,0.694,0.778,0.407,0.694
abnormal,-0.667,-0.382,-0.667,-0.455
abnormality,-0.583,-0.234,-0.583,-0.303
abnormally,-0.208,-0.296,-0.208,-0.061
aboard,0.333,-0.038,0.333,0.111
abolishable,-0.542,0.0,-0.542,-0.111
abolishment,-0.593,0.619,-0.593,-0.139
abolitionary,-0.333,0.458,-0.333,0.286
abolitionism,0.875,0.778,0.875,0.848
abolitionist,0.939,0.917,0.917,0.939
abominable,-1.0,-0.036,-1.0,-0.727
abominableness,-1.0,-0.593,-1.0,-1.0
abominably,-0.875,-0.611,-0.875,-0.8
abominate,-0.933,-0.268,-0.905,-0.933
abomination,-1.0,0.036,-0.958,-1.0
abominator,-0.958,0.667,-0.958,-0.848
abort,-0.708,-0.142,-0.708,-0.487
abortion,-0.619,-0.434,-0.619,-0.03
abortionist,-0.619,0.963,-0.619,-0.333
abortive,-0.583,-0.44,-0.583,-0.455
abortively,-0.667,-0.792,-0.667,-0.455
abound,0.542,0.362,0.542,0.2
about face,-0.444,0.034,-0.292,-0.444
about time,0.222,-0.062,0.222,0.152
