Term,worry,OrdinalClass,MajorityLabel
unbearably,3.0,3,3
immolation,3.0,3,3
rapist,3.0,3,3
fistfight,3.0,3,3
apocalypse,3.0,3,3
terroristic,3.0,3,3
panicked,3.0,3,3
patrolling,3.0,3,3
imposer,3.0,3,3
pedophile,3.0,3,3
firebomb,3.0,3,3
mutilate,3.0,3,3
deflagration,3.0,3,3
irksome,3.0,3,3
asphyxia,3.0,3,3
nostrum,3.0,3,3
sux,3.0,3,3
trackside,3.0,3,3
disaster,3.0,3,3
accursedness,3.0,3,3
gutturally,3.0,3,3
inapproachable,3.0,3,3
manacle,3.0,3,3
pedophilia,3.0,3,3
inconsolably,3.0,3,3
shrilly,3.0,3,3
slapping,3.0,3,3
sycophantism,3.0,3,3
detonator,3.0,3,3
neurophysiology,3.0,3,3
ragemode,3.0,3,3
terrorize,3.0,3,3
suffocative,3.0,3,3
deerstalking,3.0,3,3
brontosaur,3.0,3,3
bereavement,3.0,3,3
disorientation,3.0,3,3
electrocuted,3.0,3,3
deathtrap,3.0,3,3
terrifies,3.0,3,3
sulphurous,3.0,3,3
matricide,3.0,3,3
exploder,3.0,3,3
raider,3.0,3,3
mummified,3.0,3,3
traumatized,3.0,3,3
hardheartedly,3.0,3,3
germy,3.0,3,3
agoraphobia,3.0,3,3
metastasize,3.0,3,3
hipped,3.0,3,3
angiogram,3.0,3,3
pestilent,3.0,3,3
strangulate,3.0,3,3
terrified,3.0,3,3
incoercible,3.0,3,3
claustrophobia,3.0,3,3
warcrimes,3.0,3,3
expelled,3.0,3,3
homophobia,3.0,3,3
hellacious,3.0,3,3
homicide,3.0,3,3
suffocation,3.0,3,3
woah,3.0,3,3
terrify,3.0,3,3
capsize,3.0,3,3
entrapment,3.0,3,3
vicariously,3.0,3,3
strangle,3.0,3,3
angularity,3.0,3,3
strangler,3.0,3,3
trafficable,3.0,3,3
tomblike,3.0,3,3
lightlessness,3.0,3,3
unsponsored,3.0,3,3
methamphetamine,3.0,3,3
ricer,3.0,3,3
patricide,3.0,3,3
suffocate,3.0,3,3
claptrap,3.0,3,3
endomorphic,3.0,3,3
flintlock,3.0,3,3
decapitate,3.0,3,3
wolf,3.0,3,3
impalement,3.0,3,3
prozac,3.0,3,3
monopolize,3.0,3,3
alienist,3.0,3,3
craziness,3.0,3,3
savageness,3.0,3,3
quadriplegia,3.0,3,3
slaveholding,3.0,3,3
unhelpfulness,3.0,3,3
scuffle,3.0,3,3
asphyxiation,3.0,3,3
holocaust,3.0,3,3
incondensable,3.0,3,3
