time_sec,chan1_pitch_hz,chan2_pitch_hz
0.0000,,
0.0063,,
0.0125,,
0.0187,,
0.0250,,
0.0312,,
0.0375,,
0.0437,,
0.0500,,
0.0563,,
0.0625,,
0.0688,,
0.0750,,
0.0813,,
0.0875,,
0.0938,,
0.1000,,
0.1062,,
0.1125,,
0.1187,,
0.1250,,
0.1313,,
0.1375,,
0.1437,,
0.1500,,
0.1562,,
0.1625,,
0.1688,,
0.1750,,
0.1812,,
0.1875,,
0.1938,,
0.2000,,
0.2062,,
0.2125,,
0.2188,,
0.2250,,
0.2313,,
0.2375,,
0.2437,,
0.2500,,
0.2562,,
0.2625,,
0.2687,,
0.2750,,
0.2812,,
0.2875,,
0.2938,,
0.3000,,
0.3063,,
0.3125,,
0.3187,,
0.3250,,
0.3312,,
0.3375,,
0.3438,,
0.3500,,
0.3563,,
0.3625,,
0.3688,,
0.3750,,
0.3812,,
0.3875,,
0.3937,,
0.4000,,
0.4062,,
0.4125,,
0.4188,,
0.4250,,
0.4313,,
0.4375,,
0.4437,,
0.4500,,
0.4562,,
0.4625,,
0.4688,,
0.4750,,
0.4813,,
0.4875,,
0.4938,,
0.5000,,
0.5062,,
0.5125,,
0.5188,,
0.5250,,
0.5312,,82.44
0.5375,,87.34
0.5437,,87.85
0.5500,,87.34
0.5563,,87.34
0.5625,,87.34
0.5687,,87.85
0.5750,,87.85
0.5813,,87.85
0.5875,,87.34
0.5938,,86.84
0.6000,,86.84
0.6062,86.84,87.34
0.6125,86.84,87.34
0.6188,87.34,87.34
0.6250,87.34,87.34
0.6312,87.34,87.34
0.6375,87.85,87.85
0.6438,86.84,87.85
0.6500,86.34,87.85
0.6562,86.34,87.85
0.6625,86.34,87.34
0.6687,86.84,87.34
0.6750,86.84,87.34
0.6813,86.34,86.84
0.6875,86.34,87.34
0.6937,86.84,87.85
0.7000,87.34,87.34
0.7063,87.34,87.34
0.7125,86.84,87.34
0.7188,86.84,86.84
0.7250,86.84,87.34
0.7312,86.84,87.34
0.7375,86.84,87.34
0.7438,86.84,87.34
0.7500,87.34,87.34
0.7562,87.34,87.34
0.7625,87.34,87.85
0.7688,87.34,87.85
0.7750,87.34,87.34
0.7812,87.34,87.34
0.7875,87.34,87.34
0.7937,87.34,87.34
0.8000,87.34,87.34
0.8063,87.34,87.85
0.8125,87.34,87.34
0.8187,87.34,87.34
0.8250,87.34,87.34
0.8313,87.34,87.34
0.8375,87.34,87.34
0.8438,81.49,87.34
0.8500,81.02,
0.8562,86.84,
0.8625,86.84,
0.8688,86.84,
0.8750,87.34,
0.8812,,
0.8875,,
0.8938,,
0.9000,,
0.9062,87.34,
0.9125,87.34,
0.9187,87.34,
0.9250,87.34,
0.9313,87.34,87.85
0.9375,87.85,87.85
0.9437,87.85,87.85
0.9500,87.85,87.34
0.9563,87.34,87.34
0.9625,87.34,87.85
0.9688,87.34,87.34
0.9750,86.84,87.85
0.9812,86.84,87.85
0.9875,87.34,87.85
0.9938,87.34,87.85
1.0000,87.34,87.85
1.0063,87.85,87.85
1.0125,87.85,87.85
1.0188,87.85,87.85
1.0250,87.34,87.34
1.0312,87.34,87.85
1.0375,87.34,87.85
1.0437,87.34,87.34
1.0500,87.34,87.34
1.0562,87.34,87.85
1.0625,87.85,87.85
1.0688,86.84,87.85
1.0750,87.34,87.85
1.0813,87.34,87.85
1.0875,87.34,87.85
1.0938,87.34,87.34
1.1000,87.34,87.34
1.1062,87.34,87.34
1.1125,87.34,87.34
1.1187,87.34,87.85
1.1250,87.34,87.85
1.1313,87.34,87.85
1.1375,87.34,87.85
1.1438,87.34,87.85
1.1500,87.34,87.34
1.1562,87.34,87.85
1.1625,87.34,87.85
1.1687,87.34,87.85
1.1750,87.34,
1.1812,,
1.1875,,
1.1938,,
1.2000,,
1.2063,,
1.2125,,
1.2188,,
1.2250,,
1.2312,,
1.2375,,87.85
1.2437,,87.85
1.2500,,87.34
1.2563,,87.34
1.2625,,87.34
1.2688,,87.34
1.2750,87.34,87.85
1.2812,87.34,87.85
1.2875,87.34,87.34
1.2937,87.85,87.34
1.3000,87.34,86.84
1.3062,87.34,86.34
1.3125,87.34,87.34
1.3188,87.34,87.34
1.3250,87.34,87.34
1.3313,87.34,87.34
1.3375,87.34,87.34
1.3438,87.34,87.34
1.3500,87.34,87.34
1.3562,82.91,87.34
1.3625,86.34,87.34
1.3687,87.34,87.85
1.3750,,87.85
1.3813,,87.85
1.3875,87.34,87.85
1.3938,87.34,87.85
1.4000,86.84,87.85
1.4062,87.34,87.34
1.4125,87.85,87.34
1.4187,87.34,87.34
1.4250,87.34,87.34
1.4312,87.34,87.34
1.4375,87.34,87.34
1.4438,87.34,87.34
1.4500,87.34,87.34
1.4563,86.84,87.34
1.4625,86.84,87.34
1.4688,87.34,87.34
1.4750,87.34,86.84
1.4812,87.34,87.34
1.4875,87.34,87.34
1.4937,87.34,87.34
1.5000,87.34,87.34
1.5063,87.85,87.34
1.5125,87.85,87.85
1.5188,87.85,87.85
1.5250,87.34,87.85
1.5312,87.85,87.85
1.5375,87.85,87.85
1.5437,,
1.5500,,
1.5562,,
1.5625,87.34,
1.5688,87.34,
1.5750,85.84,
1.5813,85.34,
1.5875,86.34,
1.5938,85.34,
1.6000,85.34,
1.6062,85.84,86.84
1.6125,85.84,86.84
1.6187,85.84,86.84
1.6250,86.34,87.34
1.6313,86.34,87.34
1.6375,85.84,87.34
1.6438,84.85,87.34
1.6500,86.34,86.84
1.6562,86.84,87.34
1.6625,86.84,87.34
1.6687,87.34,87.34
1.6750,87.34,87.34
1.6812,87.34,87.34
1.6875,87.34,87.34
1.6938,86.84,87.34
1.7000,86.84,87.85
1.7063,86.34,87.34
1.7125,85.84,87.34
1.7188,85.34,87.34
1.7250,85.84,87.34
1.7312,83.40,87.34
1.7375,84.36,87.34
1.7437,84.85,87.34
1.7500,85.84,87.34
1.7563,85.84,87.34
1.7625,85.34,87.34
1.7688,84.36,87.34
1.7750,83.88,87.34
1.7812,84.36,87.34
1.7875,83.88,87.34
1.7937,83.88,87.34
1.8000,84.36,87.34
1.8062,84.85,87.34
1.8125,84.85,87.34
1.8188,84.85,87.85
1.8250,84.85,87.85
1.8313,84.36,87.34
1.8375,83.88,87.85
1.8438,83.40,87.85
1.8500,83.88,87.34
1.8562,84.36,87.34
1.8625,83.88,87.34
1.8687,83.88,87.34
1.8750,84.36,87.34
1.8813,83.88,87.34
1.8875,83.40,87.85
1.8938,,
1.9000,,
1.9062,,
1.9125,,
1.9187,,
1.9250,,
1.9312,,140.25
1.9375,,140.25
1.9438,,139.45
1.9500,,140.25
1.9563,,139.45
1.9625,,139.45
1.9688,,
1.9750,,
1.9812,,
1.9875,,
1.9937,,
2.0000,,
2.0063,,
2.0125,,
2.0187,,
2.0250,,
2.0312,,
2.0375,,
2.0438,,
2.0500,,
2.0562,,
2.0625,,
2.0688,,
2.0750,,
2.0812,,
2.0875,,
2.0938,,
2.1000,,
2.1063,,
2.1125,,
2.1187,,
2.1250,,
2.1313,,
2.1375,,
2.1437,,
2.1500,,
2.1562,,
2.1625,,
2.1688,,
2.1750,,
2.1812,,
2.1875,,
2.1938,,
2.2000,,
2.2062,,
2.2125,,
2.2188,,
2.2250,,
2.2313,,
2.2375,,
2.2437,,
2.2500,,
2.2563,,353.42
2.2625,,
2.2687,,
2.2750,,
2.2812,,
2.2875,,
2.2938,,
2.3000,,
2.3062,,
2.3125,,
2.3188,86.84,
2.3250,87.34,
2.3312,86.84,
2.3375,87.34,
2.3438,87.85,
2.3500,87.34,
2.3563,86.34,
2.3625,85.84,87.85
2.3687,85.84,87.34
2.3750,85.34,87.34
2.3813,85.84,87.34
2.3875,86.34,87.34
2.3937,86.84,86.84
2.4000,84.85,86.84
2.4062,84.85,87.34
2.4125,84.85,87.34
2.4188,84.36,87.34
2.4250,84.36,87.34
2.4312,84.36,87.34
2.4375,83.88,87.34
2.4438,83.40,86.84
2.4500,82.91,87.34
2.4562,83.40,87.85
2.4625,84.85,87.85
2.4688,83.88,87.34
2.4750,83.88,86.84
2.4813,83.88,85.84
2.4875,83.88,86.84
2.4937,84.36,86.84
2.5000,85.34,86.34
2.5063,85.34,87.34
2.5125,84.85,87.85
2.5187,84.36,87.34
2.5250,85.84,87.34
2.5312,85.34,86.84
2.5375,85.34,86.34
2.5438,86.34,87.34
2.5500,85.84,87.85
2.5562,85.34,86.84
2.5625,85.34,86.84
2.5688,85.34,87.34
2.5750,84.85,86.84
2.5812,84.36,86.34
2.5875,84.36,86.34
2.5938,85.34,87.34
2.6000,84.85,87.34
2.6063,,
2.6125,,
2.6187,,
2.6250,,
2.6313,,
2.6375,,
2.6437,,
2.6500,,
2.6562,,
2.6625,,
2.6688,,
2.6750,,
2.6812,,
2.6875,,
2.6938,,
2.7000,,
2.7062,,
2.7125,,
2.7188,,
2.7250,,
2.7313,,
2.7375,,
2.7437,,
2.7500,,
2.7563,,
2.7625,,
2.7687,,
2.7750,,
2.7812,,
2.7875,,
2.7938,,
2.8000,,
2.8062,,
2.8125,,
2.8188,,
2.8250,,
2.8312,,
2.8375,,
2.8438,,
2.8500,,
2.8563,,
2.8625,,
2.8687,,
2.8750,,
2.8813,,
2.8875,,
2.8937,,
2.9000,,
2.9062,,
2.9125,,
2.9188,,
2.9250,,
2.9312,,
2.9375,,
2.9438,,
2.9500,,
2.9562,,
2.9625,,
2.9688,,
2.9750,,
2.9813,,
2.9875,,
2.9937,,
3.0000,,
3.0063,,
3.0125,,
3.0187,,
3.0250,,
3.0312,,
3.0375,,
3.0438,,
3.0500,83.88,
3.0562,84.36,
3.0625,83.88,85.34
3.0688,82.91,85.34
3.0750,83.40,85.34
3.0812,83.88,84.85
3.0875,83.88,85.34
3.0938,83.88,85.34
3.1000,84.85,86.84
3.1063,84.36,86.84
3.1125,83.88,87.34
3.1187,83.88,86.84
3.1250,83.88,84.36
3.1313,83.88,85.34
3.1375,83.40,84.85
3.1437,82.91,84.36
3.1500,83.40,84.85
3.1562,83.88,86.84
3.1625,83.40,87.34
3.1688,83.88,87.34
3.1750,83.88,86.84
3.1812,83.88,86.34
3.1875,83.88,86.84
3.1938,83.88,87.34
3.2000,83.88,86.84
3.2062,83.40,86.84
3.2125,83.88,87.34
3.2188,83.88,87.34
3.2250,83.40,86.84
3.2313,83.88,86.84
3.2375,84.36,86.84
3.2437,84.36,
3.2500,84.36,
3.2563,84.85,
3.2625,84.36,
3.2687,84.36,
3.2750,83.88,
3.2812,83.88,
3.2875,84.36,
3.2938,84.36,
3.3000,83.88,
3.3062,83.88,
3.3125,83.88,
3.3188,,
3.3250,,
3.3312,,
3.3375,,
3.3438,,
3.3500,,
3.3563,,
3.3625,,
3.3687,103.86,
3.3750,103.86,
3.3813,103.86,
3.3875,104.47,
3.3937,103.86,
3.4000,103.86,
3.4062,103.86,
3.4125,104.47,
3.4188,103.86,
3.4250,103.86,
3.4312,104.47,
3.4375,104.47,
3.4438,103.86,
3.4500,103.86,
3.4562,104.47,
3.4625,104.47,
3.4688,103.86,
3.4750,103.86,
3.4813,103.86,
3.4875,102.67,
3.4937,103.27,
3.5000,,
3.5063,,
3.5125,,
3.5187,,
3.5250,,
3.5312,,
3.5375,,
3.5438,,
3.5500,,
3.5562,,
3.5625,,
3.5688,,
3.5750,,
3.5812,103.27,
3.5875,102.67,
3.5938,102.08,
3.6000,101.49,
3.6063,102.08,
3.6125,102.67,
3.6187,102.67,
3.6250,102.67,
3.6313,102.67,
3.6375,101.49,
3.6437,102.08,
3.6500,103.86,
3.6562,,
3.6625,102.08,
3.6688,101.49,
3.6750,102.08,
3.6812,103.86,
3.6875,104.47,103.27
3.6938,104.47,104.47
3.7000,,103.86
3.7062,103.86,103.86
3.7125,103.86,104.47
3.7188,105.07,104.47
3.7250,103.86,103.86
3.7313,103.27,103.86
3.7375,103.27,103.86
3.7437,102.08,103.86
3.7500,103.86,103.86
3.7563,104.47,103.86
3.7625,103.86,104.47
3.7687,103.27,104.47
3.7750,103.86,103.86
3.7812,,103.86
3.7875,103.86,103.86
3.7938,103.86,104.47
3.8000,103.86,103.86
3.8062,103.86,103.86
3.8125,103.86,103.86
3.8188,104.47,104.47
3.8250,103.86,103.86
3.8312,103.86,103.86
3.8375,104.47,104.47
3.8438,103.86,103.86
3.8500,103.27,103.86
3.8563,103.86,103.86
3.8625,103.27,103.86
3.8687,102.67,103.86
3.8750,103.86,103.86
3.8813,104.47,103.86
3.8875,,104.47
3.8937,,104.47
3.9000,,104.47
3.9062,,103.86
3.9125,,104.47
3.9188,,104.47
3.9250,,104.47
3.9312,,104.47
3.9375,,
3.9438,,
3.9500,,
3.9562,,
3.9625,,104.47
3.9688,,104.47
3.9750,,104.47
3.9813,,103.86
3.9875,,103.27
3.9937,,103.27
4.0000,,103.27
4.0062,,104.47
4.0125,,104.47
4.0187,,103.86
4.0250,,
4.0312,,
4.0375,,
4.0438,,
4.0500,,
4.0563,,
4.0625,,
4.0687,,
4.0750,,
4.0812,,103.86
4.0875,,103.86
4.0938,,103.86
4.1000,,103.86
4.1063,,103.86
4.1125,,104.47
4.1188,,
4.1250,,
4.1312,,
4.1375,,
4.1437,,
4.1500,,
4.1562,,
4.1625,206.53,
4.1688,206.53,206.53
4.1750,208.93,212.58
4.1813,212.58,212.58
4.1875,212.58,212.58
4.1937,213.82,212.58
4.2000,206.53,206.53
4.2062,202.98,202.98
4.2125,197.21,198.35
4.2188,193.82,194.94
4.2250,189.39,189.39
4.2313,184.00,186.14
4.2375,189.39,188.30
4.2438,189.39,188.30
4.2500,189.39,189.39
4.2562,190.49,191.59
4.2625,192.70,193.82
4.2687,197.21,198.35
4.2750,200.65,200.65
4.2812,205.34,205.34
4.2875,212.58,211.36
4.2938,220.08,220.08
4.3000,227.84,226.53
4.3063,234.52,237.24
4.3125,252.81,255.74
4.3187,270.95,270.95
4.3250,285.41,283.77
4.3312,292.08,292.08
4.3375,298.91,300.64
4.3438,313.04,311.24
4.3500,320.36,320.36
4.3563,325.96,325.96
4.3625,335.51,335.51
4.3688,339.41,339.41
4.3750,345.34,347.34
4.3812,349.36,357.52
4.3875,347.34,347.34
4.3937,345.34,
4.4000,,
4.4062,,
4.4125,,
4.4188,,
4.4250,,
4.4313,,
4.4375,,
4.4437,,
4.4500,,
4.4562,,
4.4625,,
4.4688,,
4.4750,,
4.4813,,
4.4875,,
4.4938,,
4.5000,,
4.5062,,
4.5125,,
4.5187,,
4.5250,,
4.5312,,
4.5375,,
4.5438,,
4.5500,,
4.5563,169.71,170.69
4.5625,169.71,169.71
4.5687,168.73,167.76
4.5750,165.83,165.83
4.5812,162.98,162.98
4.5875,161.11,157.43
4.5938,159.26,157.43
4.6000,158.34,153.83
4.6063,155.62,155.62
4.6125,154.72,
4.6188,,
4.6250,162.04,177.73
4.6312,166.79,169.71
4.6375,168.73,169.71
4.6437,172.67,171.68
4.6500,173.67,172.67
4.6562,171.68,172.67
4.6625,170.69,173.67
4.6688,171.68,172.67
4.6750,174.68,172.67
4.6813,172.67,170.69
4.6875,167.76,169.71
4.6937,165.83,167.76
4.7000,165.83,166.79
4.7062,165.83,165.83
4.7125,165.83,164.87
4.7188,164.87,163.92
4.7250,163.92,163.92
4.7313,162.98,164.87
4.7375,157.43,157.43
4.7438,156.52,156.52
4.7500,155.62,155.62
4.7562,154.72,154.72
4.7625,152.95,152.95
4.7687,152.95,152.07
4.7750,152.95,152.95
4.7812,152.95,152.95
4.7875,152.95,152.95
4.7938,152.95,152.95
4.8000,152.95,152.95
4.8063,152.95,153.83
4.8125,153.83,153.83
4.8187,153.83,153.83
